KNUMBER|APPLICANT|CONTACT|STREET1|STREET2|CITY|STATE|COUNTRY_CODE|ZIP|POSTAL_CODE|DATERECEIVED|DECISIONDATE|DECISION|REVIEWADVISECOMM|PRODUCTCODE|STATEORSUMM|CLASSADVISECOMM|SSPINDICATOR|TYPE|THIRDPARTY|EXPEDITEDREVIEW|DEVICENAME
K242068|Ningbo Dechang Electrical Machinery Made Co.,Ltd|Yinling  Liu|No.18 YongXing East Road ,Dongjiao Industrial District||YuYao||CN|315400|315400|07/15/2024|04/04/2025|SESE|SU|OLP|Summary|SU||Traditional|N||LED Light Therapy Mask (RT01)
K242072|CeraRoot SL|Josep  Oliva-Ochoa|Parpers 13||Les Franqueses del Valles||ES|08520|08520|07/16/2024|05/14/2025|SESE|DE|DZE|Summary|DE||Traditional|N||CeraRoot TL Implant System (TL)
K242089|Jiangsu Ruifuda Medical Device Co., Ltd|Jingkai  Shao|1st Floor, No. 567-12, Huaguoshan Avenue|Economic and Technological Development Area|Lianyungang||CN|222022|222022|07/17/2024|04/10/2025|SESE|OB|MQL|Summary|OB||Traditional|N||Vitrification Freeze Kit (RFD-0101) Vitrification Thaw Kit (RFD-0201, RFD-0202)
K242098|Shenzhen Vivolight Medical Device & Technology Co., Ltd.|Gao  Pengyang|Room 511-A, 5th Floor, Block B, Building R2, High-Tech Indus|strial Park, No. 020, South Seventh Road Gaoxin Community,|Shenzhen||CN|518055|518055|07/18/2024|04/11/2025|SESE|CV|NQQ|Summary|RA||Traditional|N||Cornaris Intravascular Imaging System (P80-E); Cornaris Intravascular Imaging System (Mobile-E); LumenCross Imaging Catheter (F2)
K242103|3Shape TRIOS A/S|Klaus Rudbaek Hoj|Holmens Kanal 7||Copenhagen||DK|Dk-1060|Dk-1060|07/18/2024|04/04/2025|SESE|DE|NBL|Summary|DE||Traditional|N||TRIOS Ready Tip
K242105|Essity Higiene Y Salud Mexico. S.A. DE C.V.|Sean  Anderson|Avenida Santa Fe No. 428. Torre II, Piso 12|Colonia Santa Fe Cuajimalpa, Alcaldia Cuajimalpa De Morelos|Cuidad De Mexico||MX|05348|05348|07/18/2024|04/01/2025|SESE|OB|HEB|Summary|OB||Traditional|N||SABA Tampons
K242113|BioCircuit Technologies, Inc.|Jack  Griffis|1819 Peachtree Rd NE Ste 205||Atlanta|GA|US|30309|30309|07/19/2024|04/02/2025|SESE|NE|JXI|Summary|NE||Traditional|N||Nerve Wrap (07-DW-001-TAB)
K242114|ICU Medical Inc|Yuliya  Matlin|600 N. Field Drive||Lake Forest|IL|US|60045|60045|07/19/2024|04/02/2025|SESE|HO|FRN|Summary|HO||Traditional|N||Plum Solo™ Precision IV Pump
K242115|ICU Medical Inc.|Yuliya  Matlin|600 N. Field Drive||Lake Forest|IL|US|60045|60045|07/19/2024|04/02/2025|SESE|HO|FRN|Summary|HO||Traditional|N||Plum Duo™ Precision IV Pump
K242116|Oculogica, Inc.|Rosina  Samadani|1477 S. Knowles Ave. #110F||New Richmond|WI|US|54017|54017|07/19/2024|04/04/2025|SESE|NE|QEA|Summary|NE||Traditional|N||EyeBOX EBX-4.1
K242117|ICU Medical, Inc.|Pernell  Abrantes|600 North Field Drive||Lake Forest|IL|US|60045|60045|07/19/2024|04/02/2025|SESE|HO|PHC|Summary|HO||Traditional|N||LifeShield Infusion Safety Software Suite
K242120|Cascination AG|Gordana  Salleles|Steigerhubelstrasse 3||Bern||CH|3008|3008|07/19/2024|04/11/2025|SESE|EN|QQE|Summary|RA||Traditional|N||OTOPLAN
K242129|VitalConnect, Inc.|Gabriel  Nallathambi|2870 Zanker Road|Suite 100|San Jose|CA|US|95134|95134|07/22/2024|04/17/2025|SESE|CV|DQK|Summary|CV||Traditional|N||VitalRhythm
K242151|Shenzhen Nuon Medical Equipment Co., Ltd|Alain  Dijkstra|1F-3F, No.27-2, Xintang Rd, Xintian Comm, Fuhai Str,|Baoan Dist|Shenzhen||CN|518000|518000|07/23/2024|04/08/2025|SESE|SU|OHS|Summary|SU||Traditional|N||Radiant Renewal Skincare Wand (HD-44,HD-44A ,HD-44B,HD-44C, HD-69, HD-69A, HD-69B)
K242155|NIKKISO CO., LTD.|Satoko  Hina|20-3, Ebisu 4-Chome, Shibuya-ku||Tokyo||JP|150-6022|150-6022|07/23/2024|05/15/2025|SESE|GU|KDI|Summary|GU||Traditional|N||DBB-06 PRO Hemodialysis Delivery System (DBB-06 PRO)
K242170|Kamiya Biomedical Company, LLC|Shawn  Kaplan|12779 Gateway Dr S||Tukwila|WA|US|98168|98168|07/24/2024|04/18/2025|SESE|IM|DCK|Summary|IM||Traditional|N||K-ASSAY CRP (Ver.2)
K242176|Nikkiso Co., LTD.|Satoko  Hina|20-3, Ebisu 4-Chome||Shibuya-ku||JP|150-6022|150-6022|07/24/2024|05/15/2025|SESE|GU|KOC|Summary|GU||Traditional|N||BLOOD TUBING LINES FOR HEMODIALYSIS AL Series (Archloop) BLOOD TUBING LINES FOR HEMODIALYSIS C18 Series (AL-ADC-E(U), AL-CDC-E(U), C18RDC-E(U), C18BDD-E(U), C18SFD-E(U)
K242209|Apex Biotechnology Corp|Lisa  Liu|No. 7, Li-Hsin Road V, Hsinchu Science Park||Hsinchu||TW|30078|30078|07/29/2024|04/04/2025|SESE|CH|PTC|Summary|CH||Traditional|N||UASure II Blood Uric Acid Monitoring System
K242211|CoapTech Inc.|Jack  Kent|101 W. Dickman St.|Suite 700|Baltimore|MD|US|21230|21230|07/29/2024|04/29/2025|SESE|GU|KGC|Summary|GU||Traditional|N||PUMA-G Pediatric System
K242214|Sound Health Systems, Inc.|Parameswaran  Gopi|650B Fremont Avenue #363||Los Altos|CA|US|94024|94024|07/29/2024|04/24/2025|SESE|EN|QZC|Summary|EN||Traditional|N||Sonu
K242232|Medacta International S.A.|Baj  Stefano|Strada Regina||Castel San Pietro||CH|6874|6874|07/30/2024|04/23/2025|SESE|OR|LPH|Summary|OR||Traditional|N||Mpact 3D Metal Augments II
K242247|Jeil Medical Corporation|Dajung  Lee|702•703•704•705•706•804•805•807•812•815-ho|55, Digital-ro 34-gil, Guro-gu|Seoul||KR|08378|08378|07/31/2024|04/22/2025|SESE|OR|HSB|Summary|OR||Traditional|N||ARIX Femur Nail System
K242254|DK Medical Technology Co., Ltd.|Quan  Shi|301 unit, bioBAY B1, 218 Xinghu Str.,|Suzhou Industrial Park|Suzhou||CN|215123|215123|07/31/2024|04/21/2025|SESE|CV|PNO|Summary|CV||Traditional|N||D·Kutting™ LL Peripheral Scoring Balloon Dilatation Catheter
K242255|Medex|Guylaine  Casses|240 Allee Jacques Monod||Saint-Priest||FR|69800|69800|07/31/2024|04/29/2025|SESE|HO|FMG|Summary|HO||Traditional|N||Qitexio® 4-Way Stopcock (QIT014)
K242294|DiaSys Diagnostic Systems GmbH|Jan  Gorka|Alte Strasse 9||Holzheim||DE|65558|65558|08/02/2024|05/09/2025|SESE|MI|PTF|Summary|MI||Traditional|N||DiaSys Procalcitonin FS; DiaSys TruCal Procalcitonin Calibrator Set; DiaSys TruLab Procalcitonin Bi-Level Controls
K242295|BunkerHill Health|Nishith  Khandwala|436 Bryant Street||San Francisco|CA|US|94107|94107|08/02/2024|04/08/2025|SESE|RA|KGI|Summary|RA||Traditional|N||BunkerHill BMD
K242315|United Orthopedic Corporation|Lois  Ho|No 57, Park Ave 2, Science Park||Hsinchu||TW|30075|30075|08/05/2024|05/01/2025|SESE|OR|MEH|Summary|OR||Traditional|N||Resolve Modular Revision Hip Stem
K242321|EchoNous, Inc.|Joshua  Kim|8310 154th Ave NE||Redmond|WA|US|98052|98052|08/06/2024|04/25/2025|SESE|RA|IYN|Statement|RA||Traditional|N||Kosmos
K242337|IMDS Operations B.V.|Edwin  Schulting|Ceintuurbaan Noord 150||Roden||NL|NL9301NZ|NL9301NZ|08/07/2024|04/17/2025|SESE|CV|DQY|Summary|CV||Traditional|N||FlowGuide (FG60F); GuidionShort (GS60F)
K242354|Enchant Tek Co. Ltd.|Ling  Leonard|No. 210 Xiangzhong Rd.|Dongshan Township|Yilan County||TW|26950|26950|08/08/2024|04/29/2025|SESE|AN|CAF|Summary|AN||Traditional|N||AllNEB
K242358|XSTO CO., LTD.|Jingbu  Xu|Floor 1, Buliding C, 555 Plant, Ma'an Cun Rd,|Cuiheng New District|Zhongshan||CN|528400|528400|08/08/2024|04/03/2025|SESE|PM|ITI|Statement|PM||Traditional|N||Powered wheelchair (mobility robot) (M4, M4U)
K242385|Shenzhen Borria Technology Co., Ltd|Chardy  Wang|501, Floor 5, Building 6, Industrial Zone, No.2015, Shenyan|Road, Pengwan Community, Haishan Street, Yantian District|Shenzhen||CN|||08/12/2024|04/07/2025|SESE|SU|OHS|Summary|SU||Traditional|N||LED Therapy Mask (MN1, M226)
K242386|GENOSS Co., Ltd.|Jiyeon  Lee|12F, 76, Changnyong-daero 256beon-gil, Yeongtong-gu|Manufacturing site: 3F, 4F, 5F, D-factory, 56, Changnyong-da|Suwon-si||CN|||08/12/2024|05/05/2025|SESE|DE|EBZ|Summary|DE||Traditional|N||Bluemoon
K242388|Bonraybio Co., LTD.|Clare  Huang|4F., No. 118, Gongye 9th Rd., Dali Dist.||Taichung||TW|41280|41280|08/12/2024|05/09/2025|SESE|HE|POV|Summary|HE||Traditional|N||LensHooke X12 PRO Semen Analysis System
K242392|Crossroads Neurovascular, Inc.|Ryan  Breckenridge|105 North Pointe Dr, Suite D||Lake Forest|CA|US|92630|92630|08/12/2024|05/09/2025|SESE|NE|QJP|Summary|CV||Traditional|N||PATH BGC
K242410|NextStep Arthropedix|Garrett  Spurgeon|1800 Triplett Blvd||Akron|OH|US|44720|44720|08/14/2024|05/08/2025|SESE|OR|JWH|Summary|OR||Traditional|N||NextStep Arthropedix Total Knee System
K242418|P-Cure, Ltd.|Ori  Lubin|14 Carmel St.||Shilat Industrial Zone||IL|7318800|7318800|08/15/2024|05/12/2025|SESE|RA|LHN|Summary|RA||Traditional|N||P-Cure Proton Therapy System (PPTS)
K242427|Intuitive Surgical, Inc.|Jennifer  Karafin|1266 Kifer Road||Sunnyvale|CA|US|94086|94086|08/15/2024|04/01/2025|SESE|SU|NAY|Summary|GU||Traditional|N||da Vinci Xi Surgical System (IS4000); da Vinci X Surgical System (IS4200)
K242429|Becton Dickinson Inc. (BD)|Connor  Dahl|605 North 5600 West||Salt Lake City|UT|US|84116|84116|08/15/2024|04/09/2025|SESE|HO|SEF|Summary|HO||Traditional|N||CentroVena Central Venous Catheter (CVC) with the CentroVena One Insertion System
K242437|Cube Click, Inc.|Richard  Ricci|105 East 34 Street|Suite 231|New York|NY|US|10016|10016|08/16/2024|05/14/2025|SESE|RA|MYN|Summary|RA||Traditional|N||Smile Dx®
K242438|Breas Medical AB|Ivan  Liljegren|Foretagsvagen 1||Molnlycke||SE|45333|45333|08/16/2024|05/16/2025|SESE|AN|NHJ|Summary|AN||Traditional|N||Clearo
K242460|Progenix LLC|Christian  Hunt|Department 114|10304 Eaton Place, Suite 100|Fairfax|VA|US|22030|22030|08/19/2024|04/02/2025|SESE|NE|NUH|Summary|NE||Traditional|N||Progenix Select Stim
K242469|Agnes Medical Co., Ltd|Heui Kyeong  Pak|20, Seohyeon-ro 210beon-gil, Bundang-gu|Seohyeon-dong, 5F Cocoplaza|Seongnam-si||KR|13591|13591|08/20/2024|04/25/2025|SESE|SU|GEI|Summary|SU||Traditional|N||RFMagik Lite
K242477|Signature Orthopaedics Pty Ltd|Declan  Brazil|7 Sirius Road||Lane Cove West||AU|2066|2066|08/21/2024|05/12/2025|SESE|OR|MBI|Summary|OR||Traditional|N||Shoulder Soft Tissue Anchors
K242479|Nikkiso Co., LTD.|Satoko  Hina|20-3, Ebisu 4-Chome||Shibuya-ku||JP|150-6022|150-6022|08/21/2024|05/15/2025|SESE|GU|KOC|Summary|GU||Traditional|N||BLOOD TUBING LINES FOR HEMODIALYSIS AL Series (Archloop) BLOOD TUBING LINES FOR HEMODIALYSIS C18 Series AL-ADC-PU, AL-CDC-PU, C18RDC-PU, C18BDD-PU, C18SFD-PU
K242495|Teleflex Medical|Irma  Govea|3015 Carrington Mills Blvd||Morrisville|NC|US|27560|27560|08/22/2024|04/29/2025|SESE|AN|BTR|Summary|AN||Traditional|N||LMA Fastrach ETT SU
K242500|LARALAB GmbH|Julian  Bernard|Herzog-Heinrich-Str.13, 80336||Munich||DE|||08/22/2024|04/16/2025|SESE|RA|QIH|Summary|RA||Traditional|N||LARALAB
K242514|Shenzhen Rogin Medical Co., Ltd.|Salon  Chen|Room 3109, Block 6, Tian'an Cloud Park,|Bantian street, Longgang District|Shenzhen||CN|518129|518129|08/23/2024|04/24/2025|SESE|DE|EKX|Summary|DE||Traditional|N||Endo Motor (E-LITE MAX, E-LITE PRO, E-LITE INO)
K242518|Edwards Lifesciences LLC|Daphney  Germain-Kolawole|One Edwards Way||Irvine|CA|US|92614|92614|08/23/2024|05/15/2025|SESE|CV|QAQ|Summary|CV||Traditional|N||Hypertension Prediction Index (HePI) Algorithm
K242519|Philips Ultrasound|Sudipta  Chakrabarti|22100 Bothell Everett Hwy||Bothell|WA|US|98021-8431|98021-8431|08/23/2024|05/15/2025|SESE|RA|IYN|Summary|RA||Traditional|N||Lumify Diagnostic Ultrasound System
K242531|Hycor Biomedical|Aashrey  Kaul|7272 Chapman Avenue||Garden Grove|CA|US|92841|92841|08/26/2024|04/23/2025|SESE|IM|DHB|Summary|IM||Traditional|N||NOVEOS Specific IgE (sIgE) Assay; Capture Reagent G010, Johnson Grass (Sorghum halepense); Capture Reagent T007, Oak (Quercus alba) ; Capture Reagent G002, Bermuda Grass (Cynodon dactylon); Capture Reagent W001, Common Ragweed (Ambrosia artemisiifolia); Capture Reagent E005, Dog Dander (Canis familiaris); Capture Reagent T003, Common Silver Birch (Betula verrucosa); Capture Reagent F001, Egg White (Gallus gallus); Capture Reagent F002, Cow's Milk (Bos taurus); NOVEOS Immunoassay Analyz
K242542|Medentika GmbH|Tobias  Ludwig|Hammweg 8-10||Huegelsheim||DE|76529|76529|08/26/2024|04/22/2025|SESE|DE|NHA|Summary|DE||Traditional|N||Medentika CAD/CAM Abutments
K242551|Siemens Healthcare GmbH|Jiayan  Liu|Henkestr. 127||Erlangen||DE|91052|91052|08/27/2024|04/03/2025|SESE|RA|QIH|Summary|RA||Traditional|N||syngo Dynamics (Version VA41D)
K242552|iCat Solutions Ltd|Georgios  Michalopoulos|51-59 Rose Lane||Norwich||GB|NR1 1BY|NR1 1BY|08/27/2024|04/08/2025|SESE|RA|LLZ|Summary|RA||Traditional|N||Horos Mobile
K242561|DonneVie Medical Technology (Shanghai) Co. Ltd.|Hannah Hang  Yin|Suite 201, Bld. 1, 138 Xinjun Ring|Minhang District|Shanghai||CN|201114|201114|08/28/2024|04/10/2025|SESE|OB|MQL|Summary|OB||Traditional|N||Dewin Reproductive Media (Dewin Vitrification Kit, Dewin Thawing Kit)
K242569|Brainlab AG|Esther  Moreno Garcia|Olof-Palme-Str.9||Munich||DE|81829|81829|08/28/2024|05/16/2025|SESE|OR|SBF|Summary|NE||Traditional|N||Mixed Reality Spine Navigation
K242576|Hangzhou Alltest Biotech Co.,Ltd|Rosa  Wu|#550, Yinhai Street||Hangzhou||CN|310018|310018|08/29/2024|04/04/2025|SESE|MI|JSM|Summary|MI||Traditional|N||AllTest Viral Transport Medium
K242583|ATsens Co.,Ltd.|KeonHoon  Lee|Point Town 803, 11, Gumi-ro, Bundang-gu,|Seongnam-si, Gyeonggi-do|Seongnam-si||KR|13637|13637|08/30/2024|05/02/2025|SESE|CV|DSH|Summary|CV||Traditional|N||AT-Patch (ATP-C130/ATP-C70)
K242585|Sentinel CH. S.p.A.|Patricia  Dupé|Via Robert Koch, 2||Milan (MI)||IT|20152|20152|08/30/2024|05/16/2025|SESE|CH|NDY|Summary|CH||Traditional|N||Cystatin C
K242600|Pearl Inc.|William  Birdsall|2515 Benedict Canyon Dr.||Beverly Hills|CA|US|90210|90210|08/30/2024|04/11/2025|SESE|RA|MYN|Summary|RA||Traditional|N||Second Opinion Periapical Radiolucency Contours
K242624|Shanghai United Imaging Healthcare Co., Ltd.|Xin  Gao|No. 2258 Chengbei Rd. Jiading District||Shanghai||CN|201807|201807|09/03/2024|05/14/2025|SESE|RA|QIH|Summary|RA||Traditional|N||Medical Image Post-processing Software (uOmnispace.CT)
K242646|Guilin AestheDent Medical Instruments Co., Ltd|Chen  Salon|3rd Floor, Building 12th, Guilin Creative Industry Park|No. 70, Qilidian Road, Qixing District|Guilin||CN|541004|541004|09/03/2024|04/11/2025|SESE|DE|EBW|Summary|DE||Traditional|N||Dental Implant Unit
K242647|MySegmenter Technologies Inc.|Ketan  Jajal|8th The Green|Suite #10588|Dover|DE|US|19901|19901|09/03/2024|04/16/2025|SESE|RA|LLZ|Summary|RA||Traditional|N||MySegmenter (v2.0.0)
K242658|Thermofisher Scientific|Joel  Mathew|1 Thermofisher Way||Oakwood Village|OH|US|44146|44146|09/04/2024|04/15/2025|SESE|MI|JWY|Statement|MI||Traditional|N||The Sensititre 18-24 hour MIC or Breakpoint Susceptibility System with Moxifloxacin in the dilution range of 0.008-16 ug/mL
K242670|Philips Ultrasound|Sudipta  Chakrabarti|22100 Bothell Everett Hwy||Bothell|WA|US|98021-8431|98021-8431|09/05/2024|05/08/2025|SESE|RA|IYN|Summary|RA||Traditional|N||Lumify Diagnostic Ultrasound System
K242674|Signature Orthopaedics Pty Ltd|Declan  Brazil|7 Sirius Road||Lane Cove West||AU|2066|2066|09/06/2024|05/13/2025|SESE|OR|NKG|Summary|OR||Traditional|N||Freedom Posterior Cervical Screws
K242692|Capillary Biomedical, LLC.|Kristina  Nistler|2 Wrigley, Suite 100||Irvine|CA|US|92618|92618|09/09/2024|05/09/2025|SESE|CH|FPA|Summary|HO||Abbreviated|N||SteadiSet Infusion Set
K242706|Fujirebio Diagnostics, Inc.|Stacey  Dolan|201 Great Valley Parkway||Malvern|PA|US|19475|19475|09/09/2024|05/16/2025|SESE|IM|QSE|Summary|IM||Traditional|N||Lumipulse G pTau217/ß-Amyloid 1-42 Plasma Ratio
K242731|Medicatech USA Inc.|Theodor  Gillebaard|50 Maxwell||Irvine|CA|US|92618|92618|09/10/2024|05/16/2025|SESE|RA|OWB|Summary|RA||Traditional|N||MasteRad MiniX Mobile Digital Imaging System (Mini-X)
K242732|Tristel Solutions Ltd.|Julija  Shabanova|Unit 1b, Lynx Business Park, Fordham Road|Snailwell|Cambridgeshire||GB|CB8 7NY|CB8 7NY|09/10/2024|05/09/2025|SESE|HO|QWS|Summary|HO||Traditional|N||Tristel OPH
K242748|Oncospace, Inc.|Sigrid  Schoepel|1812 Ashland Ave., Suite 100K||Baltimore|MD|US|21205|21205|09/12/2024|04/11/2025|SESE|RA|MUJ|Summary|RA||Traditional|N||Oncospace
K242754|ZAMAR Medical d.o.o.|Gianmarco  Zanotti|Sv Martin 6||Vrsar||HR|52450|52450|09/12/2024|05/05/2025|SESE|PM|IRP|Summary|PM||Traditional|N||ZT Clinic (MG675A); ZT Cube (ZC3) (MG465A); Z-ONE (MG455A)
K242762|Aesculap Inc.|Hamza  Ahmed|3773 Corporate Pkwy||Center Valley|PA|US|18034|18034|09/12/2024|05/13/2025|SESE|HO|KCT|Summary|HO||Traditional|N||Aesculap Aicon® Series Container System
K242763|PFM Medical, Inc|Jessica  Jho|1916 Palomar Oaks Way||Carlsbad|CA|US|92008|92008|09/12/2024|05/02/2025|SESE|HO|FPA|Summary|HO||Traditional|N||JetCan® Pro Safety Huber Needle
K242769|Draegerwerk AG & Co. KGaA|Jan  Upmeier|Moislinger Allee 53-55||Luebeck||DE|23542|23542|09/13/2024|04/04/2025|SESE|AN|BTL|Summary|AN||Traditional|N||VentStar Resus heated (N) (MP17030); VentStar Autobreath heated (N) (MP17031)
